ID,Prob1
0, 0.62999
1, 0.70443
2, 0.11543
3, 0.03669
4, 0.37802
5, 0.22253
6, 0.20639
7, 0.29875
8, 0.78016
9, 0.58323
10, 0.34704
11, 0.42817
12, 0.47483
13, 0.95794
14, 0.53264
15, 0.76895
16, 0.34923
17, 0.98452
18, 0.23187
19, 0.16586
20, 0.74805
21, 0.25387
22, 0.19459
23, 0.34308
24, 0.24387
25, 0.87379
26, 0.93358
27, 0.23762
28, 0.28039
29, 0.44935
30, 0.36164
31, 0.37719
32, 0.53630
33, 0.47176
34, 0.84330
35, 0.68150
36, 0.31817
37, 0.15559
38, 0.80931
39, 0.34088
40, 0.37190
41, 0.72798
42, 0.38975
43, 0.75723
44, 0.45913
45, 0.37574
46, 0.78414
47, 0.52352
48, 0.97777
49, 0.65608
50, 0.33429
51, 0.41445
52, 0.96502
53, 0.21188
54, 0.40253
55, 0.16424
56, 0.18464
57, 0.36731
58, 0.70099
59, 0.28245
60, 0.16730
61, 0.23487
62, 0.83514
63, 0.66464
64, 0.42882
65, 0.39968
66, 0.65663
67, 0.83965
68, 0.16496
69, 0.88653
70, 0.58771
71, 0.33189
72, 0.39529
73, 0.40150
74, 0.98865
75, 0.36874
76, 0.66677
77, 0.79431
78, 0.69816
79, 0.25968
80, 0.36034
81, 0.95080
82, 0.43679
83, 0.55907
84, 0.65138
85, 0.72166
86, 0.88857
87, 0.90141
88, 0.52037
89, 0.06601
90, 0.51415
91, 0.21964
92, 0.44161
93, 0.91994
94, 0.26820
95, 0.61946
96, 0.12192
97, 0.13666
98, 0.36584
99, 0.40171
100, 0.96547
101, 0.65143
102, 0.18507
103, 0.51533
104, 0.47193
105, 0.87898
106, 0.26978
107, 0.95985
108, 0.68733
109, 0.16286
110, 0.32651
111, 0.55031
112, 0.98794
113, 0.20898
114, 0.67142
115, 0.26306
116, 0.28601
117, 0.97369
118, 0.52880
119, 0.44812
120, 0.75321
121, 0.73467
122, 0.26261
123, 0.45677
124, 0.17201
125, 0.66212
126, 0.71869
127, 0.96781
128, 0.80948
129, 0.96224
130, 0.27204
131, 0.37333
132, 0.47436
133, 0.60061
134, 0.54061
135, 0.48614
136, 0.42782
137, 0.98237
138, 0.12357
139, 0.85286
140, 0.42789
141, 0.22833
142, 0.83507
143, 0.19743
144, 0.74908
145, 0.59948
146, 0.35237
147, 0.50911
148, 0.17646
149, 0.20730
150, 0.55032
151, 0.99764
152, 0.42405
153, 0.62327
154, 0.43158
155, 0.28475
156, 0.32768
157, 0.46262
158, 0.73768
159, 0.88211
160, 0.85015
161, 0.36204
162, 0.42073
163, 0.70950
164, 0.90494
165, 0.20862
166, 0.54381
167, 0.19184
168, 0.53787
169, 0.35165
170, 0.74152
171, 0.65338
172, 0.50225
173, 0.62184
174, 0.25665
175, 0.22454
176, 0.97101
177, 0.29555
178, 0.66303
179, 0.24456
180, 0.96141
181, 0.20655
182, 0.59842
183, 0.44794
184, 0.26935
185, 0.25473
186, 0.52380
187, 0.36269
