ID,Prob1
0, 0.59291
1, 0.68238
2, 0.17534
3, 0.30481
4, 0.33593
5, 0.26213
6, 0.41579
7, 0.23927
8, 0.59502
9, 0.41624
10, 0.56704
11, 0.29458
12, 0.48640
13, 0.93297
14, 0.26979
15, 0.79845
16, 0.33880
17, 0.96833
18, 0.18581
19, 0.23358
20, 0.62246
21, 0.42190
22, 0.21485
23, 0.45601
24, 0.40351
25, 0.82169
26, 0.47899
27, 0.31092
28, 0.31171
29, 0.43293
30, 0.41113
31, 0.46299
32, 0.25299
33, 0.46977
34, 0.83253
35, 0.63218
36, 0.25756
37, 0.25360
38, 0.73247
39, 0.32696
40, 0.32664
41, 0.80773
42, 0.39002
43, 0.64807
44, 0.62198
45, 0.44406
46, 0.86063
47, 0.55571
48, 0.67852
49, 0.60769
50, 0.34649
51, 0.50455
52, 0.94039
53, 0.22295
54, 0.39143
55, 0.34727
56, 0.30811
57, 0.36452
58, 0.82104
59, 0.29211
60, 0.17575
61, 0.27553
62, 0.66948
63, 0.65865
64, 0.36484
65, 0.41288
66, 0.57595
67, 0.78866
68, 0.30699
69, 0.87306
70, 0.70938
71, 0.30798
72, 0.39316
73, 0.46437
74, 0.97827
75, 0.55966
76, 0.33827
77, 0.72244
78, 0.81883
79, 0.40004
80, 0.42230
81, 0.56284
82, 0.63173
83, 0.60796
84, 0.51073
85, 0.64858
86, 0.80154
87, 0.92052
88, 0.40870
89, 0.21364
90, 0.40330
91, 0.39033
92, 0.46168
93, 0.91943
94, 0.41287
95, 0.44459
96, 0.64973
97, 0.37763
98, 0.41442
99, 0.60647
100, 0.95604
101, 0.48946
102, 0.31673
103, 0.58443
104, 0.55854
105, 0.85446
106, 0.29869
107, 0.96197
108, 0.72683
109, 0.23571
110, 0.21511
111, 0.57392
112, 0.98646
113, 0.27739
114, 0.72176
115, 0.25165
116, 0.31628
117, 0.97690
118, 0.61934
119, 0.58566
120, 0.73645
121, 0.60910
122, 0.25264
123, 0.54534
124, 0.44983
125, 0.67573
126, 0.74143
127, 0.95717
128, 0.85711
129, 0.93774
130, 0.21295
131, 0.34621
132, 0.39540
133, 0.61400
134, 0.69063
135, 0.43481
