ID,Prob1
0, 0.47656
1, 0.79160
2, 0.10237
3, 0.02075
4, 0.47739
5, 0.16423
6, 0.29059
7, 0.29676
8, 0.65715
9, 0.60867
10, 0.27545
11, 0.42078
12, 0.40346
13, 0.97465
14, 0.50283
15, 0.83322
16, 0.46368
17, 0.99427
18, 0.24290
19, 0.20723
20, 0.70855
21, 0.25514
22, 0.28144
23, 0.36513
24, 0.14125
25, 0.93700
26, 0.69793
27, 0.33475
28, 0.30185
29, 0.35757
30, 0.46348
31, 0.35016
32, 0.57322
33, 0.49150
34, 0.91388
35, 0.74252
36, 0.24410
37, 0.11175
38, 0.77391
39, 0.35386
40, 0.27821
41, 0.77645
42, 0.39680
43, 0.69379
44, 0.50322
45, 0.39326
46, 0.73926
47, 0.69063
48, 0.98291
49, 0.60411
50, 0.49905
51, 0.30491
52, 0.98798
53, 0.09668
54, 0.22506
55, 0.12211
56, 0.15669
57, 0.31250
58, 0.45154
59, 0.32456
60, 0.13252
61, 0.13757
62, 0.86588
63, 0.64135
64, 0.50930
65, 0.40507
66, 0.71036
67, 0.87476
68, 0.12488
69, 0.94373
70, 0.43343
71, 0.46036
72, 0.27162
73, 0.30666
74, 0.99187
75, 0.52609
76, 0.64754
77, 0.80574
78, 0.75853
79, 0.19590
80, 0.60314
81, 0.91985
82, 0.39940
83, 0.48117
84, 0.67402
85, 0.70599
86, 0.87819
87, 0.83544
88, 0.49126
89, 0.02868
90, 0.46495
91, 0.16275
92, 0.32715
93, 0.90503
94, 0.29993
95, 0.55473
96, 0.05845
97, 0.11635
98, 0.34914
99, 0.43883
100, 0.94329
101, 0.62768
102, 0.22037
103, 0.44350
104, 0.49252
105, 0.86535
106, 0.28574
107, 0.97632
108, 0.63013
109, 0.22397
110, 0.32137
111, 0.62219
112, 0.99140
113, 0.26175
114, 0.83336
115, 0.25714
116, 0.33828
117, 0.98097
118, 0.35332
119, 0.40200
120, 0.75049
121, 0.79152
122, 0.21307
123, 0.46308
124, 0.11500
125, 0.46992
126, 0.71530
127, 0.98592
128, 0.81676
129, 0.99065
130, 0.29622
131, 0.37737
132, 0.55030
133, 0.66760
134, 0.58739
135, 0.70761
136, 0.47299
137, 0.95020
138, 0.02351
139, 0.86476
140, 0.34348
141, 0.22601
142, 0.92056
143, 0.17027
144, 0.77451
145, 0.34195
146, 0.44666
147, 0.46152
148, 0.16047
149, 0.21576
150, 0.35809
151, 0.99763
152, 0.49135
153, 0.70919
154, 0.45952
155, 0.39226
156, 0.32762
157, 0.47378
158, 0.65691
159, 0.81741
160, 0.69696
161, 0.34157
162, 0.46749
163, 0.67503
164, 0.93731
165, 0.16302
166, 0.47678
167, 0.17340
168, 0.38398
169, 0.30517
170, 0.85000
171, 0.75612
172, 0.36393
173, 0.48229
174, 0.15631
175, 0.19244
176, 0.93900
177, 0.27308
178, 0.42717
179, 0.22313
180, 0.97879
181, 0.21066
182, 0.50817
183, 0.45001
184, 0.23815
185, 0.45038
186, 0.60261
187, 0.33771
188, 0.58882
189, 0.17516
190, 0.41843
191, 0.75353
192, 0.11578
193, 0.75411
194, 0.52860
195, 0.61433
196, 0.43284
197, 0.67552
198, 0.62371
199, 0.54514
200, 0.23414
201, 0.62925
202, 0.30972
203, 0.92271
204, 0.24421
205, 0.12309
206, 0.13792
207, 0.36927
208, 0.35779
209, 0.49827
210, 0.84942
211, 0.74559
212, 0.96747
213, 0.30462
214, 0.28054
215, 0.30120
216, 0.97350
217, 0.89965
218, 0.84751
219, 0.91465
220, 0.55823
221, 0.55572
222, 0.80857
223, 0.49689
224, 0.57702
225, 0.28853
226, 0.98801
227, 0.62474
228, 0.87707
229, 0.77269
230, 0.87432
231, 0.93243
232, 0.20447
233, 0.21066
234, 0.42443
235, 0.13522
236, 0.25248
237, 0.08771
238, 0.35562
239, 0.48952
240, 0.20574
241, 0.07289
242, 0.55561
243, 0.87966
244, 0.18502
245, 0.65629
246, 0.87141
247, 0.63087
248, 0.66582
249, 0.42808
250, 0.93292
251, 0.99213
252, 0.65370
253, 0.21058
254, 0.39691
255, 0.70039
256, 0.99602
257, 0.34237
258, 0.89079
259, 0.98176
260, 0.32621
261, 0.57235
262, 0.28212
263, 0.42051
264, 0.89950
265, 0.45407
266, 0.25766
267, 0.15073
268, 0.61933
269, 0.00305
270, 0.10635
271, 0.51931
272, 0.46561
273, 0.60177
274, 0.74713
275, 0.40567
276, 0.15331
277, 0.40743
278, 0.50858
279, 0.38801
280, 0.19275
281, 0.58665
282, 0.38147
283, 0.13640
284, 0.83267
285, 0.88646
286, 0.10776
287, 0.23921
288, 0.22331
289, 0.39875
290, 0.94707
291, 0.35143
292, 0.23653
293, 0.09373
294, 0.37822
295, 0.44996
296, 0.46888
297, 0.69339
298, 0.97599
299, 0.34241
300, 0.21683
301, 0.07889
302, 0.83928
303, 0.74406
304, 0.22922
305, 0.06562
306, 0.39288
307, 0.28777
308, 0.20137
309, 0.39509
310, 0.56534
311, 0.37940
312, 0.30316
313, 0.43915
314, 0.71085
315, 0.75625
316, 0.19518
317, 0.79350
318, 0.56597
319, 0.81427
320, 0.62922
321, 0.31858
322, 0.12761
323, 0.45065
324, 0.15161
325, 0.02096
326, 0.35800
327, 0.69670
328, 0.90670
329, 0.55240
330, 0.97539
331, 0.44517
332, 0.70973
333, 0.52113
334, 0.94610
335, 0.38733
336, 0.55501
337, 0.72580
338, 0.67791
339, 0.28100
340, 0.73247
341, 0.47184
342, 0.58679
343, 0.32124
344, 0.28820
345, 0.16198
346, 0.43957
347, 0.30646
348, 0.34313
349, 0.10494
350, 0.66856
351, 0.31350
352, 0.18072
353, 0.35243
354, 0.12021
355, 0.49959
356, 0.88692
357, 0.77054
358, 0.47923
359, 0.09043
360, 0.64560
361, 0.58005
362, 0.12548
363, 0.75467
364, 0.53362
